,0
StartDate,Start Date
EndDate,End Date
Status,Response Type
IPAddress,IP Address
Progress,Progress
Duration (in seconds),Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
RecipientLastName,Recipient Last Name
RecipientFirstName,Recipient First Name
RecipientEmail,Recipient Email
ExternalReference,External Data Reference
LocationLatitude,Location Latitude
LocationLongitude,Location Longitude
DistributionChannel,Distribution Channel
UserLanguage,User Language
Q2.2,How critical is the problem of operating room waste?
Q2.3,How motivated are you in improving the sustainability of your surgical practice?
Q2.4,How much of a priority should operating room sustainability be for your institution?
Q2.5,How well do you understand the environmental impact of your operations?
Q2.6,How much effort does your institution put into teaching you about operating room sustainability?
Q2.7,How well does the surgical team understand operating room sustainability?
Q2.8,Is it true that reusable items (such as ports) are just as safe as single use items?
Q2.9,Is it true that reprocessed instruments (such as a Ligasure) are just as safe as brand new (OEM) items?
Q2.10,How often does the surgical staff open too many items prior to surgery?
Q2.11,How often do you use the majority of instruments and supplies on your preference card?
Q2.12,Is it true that administrative roadblocks thwart your ability to make sustainable changes?
Q2.13,Are you confident that individual changes you make can have an impact on climate change?
Q3.2,How willing are you to switch from a single use instrument (such as a port) to a reusable instrument?
Q3.3,How willing are you to switch from a brand new (OEM) instrument (such as a Ligasure) to a reprocessed instrument?
Q3.4,How willing are you to switch from a single use surgical gown to a reusable cloth surgical gown?
Q3.5,How willing are you to switch from a single use surgical towels to a reusable surgical towels?
Q3.6,How willing are you to reduce items on preference cards following periodic preference card review?
Q3.7,How willing are you to reduce items on preference cards based on colleagues usage patterns?
Q3.8,How willing are you to participate in a program where the cost and carbon footprint for each surgeon performing a particular operation is displayed?
Q3.9,How willing are you transition completely from water-based to alcohol-based scrub?
Q3.10,How willing are you to reduce the default length of stay for elective patients who are recovering appropriately?
Q3.11,How willing are you to see the majority of routine post-operative patients via telemedicine?
Q4.2,How motivated would you be in improving the sustainability of your practice if you personally received a cash incentive?
Q4.3,How motivated would you be in improving the sustainability of your practice if your division received a cash incentive?
Q4.4,How motivated would you be in improving the sustainability of your practice if you receive a percentage of the cost savings?
Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?
Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?
Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?
Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?
Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?
Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?
Q5.2,In what state do you practice?
Q5.3,What is the name of your institution? (Optional)
Q5.4,Which best describes the practice setting in which you spend the majority of your time?
Q5.5,What is your area of practice within surgery? (Select all that apply)
Q5.6,Do you have any of the following roles? (Select all that apply)
Q5.7,How many years have you been in practice?
Q6.1,Please leave any additional thoughts and comments.
distribution,distribution
Q_AmbiguousTextPresent,Q_AmbiguousTextPresent
Q_AmbiguousTextQuestions,Q_AmbiguousTextQuestions
Q_StraightliningCount,Q_StraightliningCount
Q_StraightliningPercentage,Q_StraightliningPercentage
Q_StraightliningQuestions,Q_StraightliningQuestions
Q_UnansweredPercentage,Q_UnansweredPercentage
Q_UnansweredQuestions,Q_UnansweredQuestions
